1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,7.订单发起时间 ,8.订单结束时间 
107888,"123.439998,41.777085","123.43869152881,41.77710039691","123.45781236457,41.808227053175",2018/8/8 12:42,2018/8/8 13:04
524604,"123.436372,41.767044","123.43620985243,41.766597222222","123.44917724609,41.743994954427",2018/8/8 8:41,2018/8/8 8:52
529883,"123.358371,41.762956","123.35705906083,41.762521027642","123.37640140462,41.791269913494",2018/8/8 11:18,2018/8/8 11:34
600470,"123.411579,41.816216","123.41148627387,41.816281467014","123.41704752604,41.838628200955",2018/8/8 0:51,2018/8/8 1:14
1538675,"123.459383,41.735586","123.4613636437,41.736289288538","123.46143625367,41.773170472983",2018/8/8 17:18,2018/8/8 17:43
2053347,"123.394832,41.776021","123.39453969491,41.776013990112","123.39410748611,41.752124920915",2018/8/8 8:09,2018/8/8 8:18
2599544,"123.427598,41.785973","123.42749463674,41.786083045324","123.40542030616,41.796829428248",2018/8/8 13:54,2018/8/8 14:24
2985610,"123.374745,41.789455","123.37533346477,41.789626453342","123.3656446631,41.772145895122",2018/8/8 22:43,2018/8/8 22:53
3097287,"123.346734,41.842793","123.34734761745,41.843478541431","123.40454805921,41.794912201178",2018/8/8 11:15,2018/8/8 11:49
3509129,"123.459905,41.79128","123.45995891462,41.791024073171","123.39357438723,41.782444402248",2018/8/8 18:58,2018/8/8 19:31
3554642,"123.382171,41.76521","123.38242540148,41.765236545139","123.37495578342,41.797618543837",2018/8/8 23:13,2018/8/8 23:25
3870224,"123.402547,41.743111","123.40251657187,41.743182340563","123.44658869506,41.731602979961",2018/8/8 14:50,2018/8/8 15:07
4177229,"123.322661,41.814431","123.32423930566,41.814140110058","123.29461535566,41.795952534809",2018/8/8 8:31,2018/8/8 8:47
4202625,"123.507861,41.83603","123.5070751471,41.837012243683","123.45249999526,41.820305504978",2018/8/8 8:21,2018/8/8 8:49
4269181,"123.426857,41.771971","123.42741006361,41.771710353836","123.41618339066,41.758535056984",2018/8/8 11:22,2018/8/8 11:42
4428410,"123.401138,41.769644","123.39943657769,41.768653428819","123.41796196832,41.781285536024",2018/8/8 7:42,2018/8/8 8:06
