,hour,longitude,latitude,value
0,0,104.1424,30.7839,5
1,0,103.6797,30.6235,3
2,0,103.6606,31.002,10
3,0,104.0962,30.599,4
4,0,104.0082,30.5726,4
5,0,103.9134,30.5791,3
6,0,104.0624,30.5924,3
7,0,104.1667,30.8263,6
8,0,104.0905,30.6174,3
9,0,103.8713,30.8845,3
10,0,104.1462,30.6428,4
11,0,104.0804,30.7041,10
12,0,104.1514,30.7586,6
13,0,104.067,30.6262,18
14,0,104.0838,30.5668,4
15,0,104.2607,30.8865,6
16,0,104.0746,30.6787,22
17,0,103.8709,30.7119,4
18,0,104.1152,30.5945,3
19,0,103.6537,30.9874,28
20,0,103.7991,30.7289,5
21,0,103.8147,30.6999,6
22,0,103.8508,30.7053,15
23,0,104.0341,30.6484,6
24,0,104.074,30.6549,15
25,0,104.2763,30.5853,4
26,0,103.9881,30.7136,3
27,0,104.0623,30.6744,3
28,0,104.1936,30.8249,3
29,0,103.9747,30.6814,9
30,0,104.0912,30.7625,4
31,0,103.6903,31.0372,4
32,0,104.261,30.5531,3
33,0,104.0571,30.6333,8
34,0,103.9791,30.5737,8
35,0,104.1673,30.7075,8
36,0,104.1257,30.6341,3
37,0,104.1738,30.8339,7
38,0,104.2865,30.5612,7
39,0,104.2733,30.8846,8
40,0,103.9785,30.7377,5
41,0,103.9199,30.5968,4
42,0,103.6608,31.0124,11
43,0,103.6246,30.981,8
44,0,104.2448,30.8933,14
45,0,104.3913,30.855,4
46,0,103.8401,30.6922,18
47,0,103.9623,30.5762,7
48,0,103.8285,30.6498,4
49,0,104.0123,30.6574,5
50,0,104.0107,30.6694,7
51,0,104.0676,30.6463,10
52,0,103.6594,31.0267,3
53,0,103.9292,30.5805,4
54,0,103.6512,30.9595,8
55,0,103.8959,30.7947,10
56,0,104.1834,30.7988,4
57,0,103.9653,30.585,5
58,0,104.0667,30.6043,5
59,0,103.6483,30.9995,10
60,0,104.1628,30.6439,5
61,0,103.6784,31.0058,6
62,0,103.9887,30.82,10
63,0,103.9843,30.6186,5
64,0,104.0602,30.561,8
65,0,104.2558,30.5784,4
66,0,104.0002,30.6731,5
67,0,104.2734,30.5582,5
68,0,103.8264,30.6992,7
69,0,104.0455,30.6401,8
70,0,104.289,30.5717,7
71,0,103.9328,30.7613,4
72,0,104.0873,30.6755,7
73,0,103.8879,30.8268,4
74,0,103.8831,30.8174,4
75,0,104.1078,30.642,5
76,0,103.987,30.6743,3
77,0,104.1523,30.6296,3
78,0,104.1994,30.8167,3
79,0,104.0226,30.6814,13
80,0,104.0503,30.6089,3
81,0,104.0023,30.6102,3
82,0,104.2913,30.8911,3
83,0,104.0148,30.6296,6
84,0,130.3618,46.81,3
85,0,103.9271,30.7252,5
86,0,104.073,30.5583,7
87,0,103.6553,30.9779,3
88,0,104.0372,30.6895,5
89,0,104.0758,30.4966,11
90,0,103.6663,30.9779,4
91,0,103.8709,30.6919,22
92,0,103.8423,30.7134,3
93,0,103.9528,30.7522,4
94,0,104.1149,30.6629,4
95,0,104.1284,30.6875,3
96,0,103.9299,30.803,5
97,0,104.0438,30.8346,3
98,0,104.0617,30.657,12
99,0,104.08,30.6078,6
100,0,103.6398,30.9909,19
101,0,104.1911,30.6631,4
102,0,104.1223,30.7502,8
103,0,104.1763,30.7214,5
104,0,104.1175,30.6764,4
105,0,104.0952,30.6471,5
106,0,103.8947,30.8136,12
107,0,104.0784,30.6311,11
108,0,103.9845,30.7546,7
109,0,104.0573,30.6969,3
110,0,103.634,31.0137,17
111,0,103.6319,30.9997,4
112,0,104.0077,30.7083,9
113,0,104.2755,30.5722,3
114,0,104.0983,30.672,8
115,0,104.2414,30.5791,5
116,0,103.9335,30.7803,3
117,0,104.0089,30.6437,5
118,0,103.5151,30.194,3
119,0,104.0765,30.5207,3
120,0,104.1685,30.6216,8
121,0,104.0724,30.533,4
122,0,104.2253,30.8898,3
123,0,104.0675,30.6358,13
124,0,104.2474,30.5329,3
125,0,104.0911,30.6595,22
126,0,103.9838,30.6657,3
127,0,103.9461,30.7812,5
