1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,5.使用者的出发地位置信息(订单里面设定的出发地) ,6.结果对象信息 ,7.订单发起时间 ,8.订单结束时间 
107888,"123.439998,41.777085","123.43869152881,41.77710039691","123.45781236457,41.808227053175","地王国际花园-西门,123.43875,41.77695","大北|劳动大厦,123.46062,41.80697",2018/8/8 12:42,2018/8/8 13:04
524604,"123.436372,41.767044","123.43620985243,41.766597222222","123.44917724609,41.743994954427","文化路|佳兆业中心C座,123.43658,41.76639","浑南区|中国建设银行24小时自助银行(三义街),123.4494,41.744",2018/8/8 8:41,2018/8/8 8:52
529883,"123.358371,41.762956","123.35705906083,41.762521027642","123.37640140462,41.791269913494","城东湖|水调歌城-北门,123.357,41.7626","云峰|千缘·爱都国际B座(东门),123.37642,41.79118",2018/8/8 11:18,2018/8/8 11:34
600470,"123.411579,41.816216","123.41148627387,41.816281467014","123.41704752604,41.838628200955","三洞桥|杨妈妈粥品专家(华山路店),123.41163,41.816307","泰山路|辽宁省轻工设计院,123.41694,41.83866",2018/8/8 0:51,2018/8/8 1:14
1538675,"123.459383,41.735586","123.4613636437,41.736289288538","123.46143625367,41.773170472983","天坛南街与金卡路交叉口,123.461453,41.736205","泉园|世海KTV商务酒店,123.46138,41.773",2018/8/8 17:18,2018/8/8 17:43
2053347,"123.394832,41.776021","123.39453969491,41.776013990112","123.39410748611,41.752124920915","新华|盛京大脚丫修脚(南京南街店),123.39425,41.77579","长白|万科中心大厦,123.39307,41.75244",2018/8/8 8:09,2018/8/8 8:18
2599544,"123.427598,41.785973","123.42749463674,41.786083045324","123.40542030616,41.796829428248","二经|山东庙社区卫生服务中心,123.42777,41.78599","太原街|中国联通(太原营业厅),123.404043,41.796504",2018/8/8 13:54,2018/8/8 14:24
2985610,"123.374745,41.789455","123.37533346477,41.789626453342","123.3656446631,41.772145895122","云峰|晋乡情山西人家,123.37509,41.78939","滑翔|中国医科大学住宅区,123.364628,41.772738",2018/8/8 22:43,2018/8/8 22:53
3097287,"123.346734,41.842793","123.34734761745,41.843478541431","123.40454805921,41.794912201178","丁香湖|金辉湖畔里-北门,123.34743,41.84353","太原街|沈阳兴隆一百,123.402519,41.795216",2018/8/8 11:15,2018/8/8 11:49
3509129,"123.459905,41.79128","123.45995891462,41.791024073171","123.39357438723,41.782444402248","滨河|沈阳沈河香格口腔门诊部,123.45999,41.79134","太原南街|1997红蕃区,123.39245,41.78075",2018/8/8 18:58,2018/8/8 19:31
3554642,"123.382171,41.76521","123.38242540148,41.765236545139","123.37495578342,41.797618543837","百家乐超市(砂山店),123.38242,41.76514","云峰|乡村爱情谢永强串吧,123.37529,41.79727",2018/8/8 23:13,2018/8/8 23:25
